node_id,cpu_t1,mem_t1,temp_t1,power_t1,cpu_t2,mem_t2,temp_t2,power_t2,cpu_t3,mem_t3,temp_t3,power_t3,cpu_t4,mem_t4,temp_t4,power_t4,cpu_t5,mem_t5,temp_t5,power_t5,cpu_t6,mem_t6,temp_t6,power_t6,cpu_t7,mem_t7,temp_t7,power_t7,cpu_t8,mem_t8,temp_t8,power_t8,cpu_t9,mem_t9,temp_t9,power_t9,cpu_t10,mem_t10,temp_t10,power_t10,cpu_cores,total_memory_gb,base_frequency,file_size_norm,line_count_norm,import_count_norm,function_count_norm,class_count_norm,language_encoded,execution_time,energy,composite_score
node_1,0.0,67.7,0.0,15.0,52.4,68.1,0.524,41.2,56.7,67.9,0.5670000000000001,43.35,46.5,67.9,0.465,38.25,45.4,67.9,0.4539999999999999,37.7,41.9,67.8,0.419,35.95,25.8,68.1,0.258,27.9,32.2,67.9,0.322,31.1,36.9,68.0,0.369,33.45,27.5,67.9,0.275,28.75,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.6342039108276367,54.361793093681335,22.72523958396912
node_1,0.0,68.0,0.0,15.0,47.2,68.4,0.472,38.6,43.4,68.1,0.434,36.7,33.5,68.1,0.335,31.75,35.7,68.2,0.357,32.85,30.4,68.3,0.304,30.2,27.7,68.4,0.2769999999999999,28.85,29.0,68.3,0.29,29.5,32.7,68.4,0.327,31.35,37.4,68.8,0.374,33.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5165245532989502,46.78478246927261,19.623827719688418
node_1,0.0,68.7,0.0,15.0,50.5,69.3,0.505,40.25,54.4,68.9,0.544,42.2,52.1,69.1,0.521,41.05,35.7,69.4,0.357,32.85,29.5,69.2,0.295,29.75,26.7,69.3,0.267,28.35,25.2,69.2,0.252,27.6,25.7,69.2,0.257,27.85,32.0,69.0,0.32,31.0,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5471796989440918,48.87540668964387,20.47847049522401
node_1,100.0,69.1,1.0,65.0,49.8,69.6,0.498,39.9,60.2,69.2,0.602,45.1,38.6,69.1,0.386,34.3,41.8,69.1,0.418,35.9,37.3,69.2,0.373,33.65,23.5,69.1,0.235,26.75,17.4,69.0,0.174,23.7,23.4,69.3,0.2339999999999999,26.7,27.4,69.2,0.2739999999999999,28.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5957252979278564,57.398238966464994,23.916730765342717
node_1,0.0,69.3,0.0,15.0,45.7,69.8,0.457,37.85,50.0,69.4,0.5,40.0,34.9,69.5,0.349,32.45,30.3,69.6,0.303,30.15,25.1,69.5,0.251,27.55,22.7,69.5,0.2269999999999999,26.35,26.2,69.6,0.262,28.1,23.5,69.6,0.235,26.75,25.2,69.1,0.252,27.6,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.513843059539795,44.173940477371225,18.577882026672366
node_1,0.0,69.3,0.0,15.0,35.2,69.9,0.352,32.6,39.2,69.7,0.392,34.6,24.7,69.7,0.247,27.35,22.8,70.0,0.228,26.4,18.5,70.0,0.185,24.25,16.2,70.0,0.162,23.1,18.1,70.2,0.181,24.05,16.7,70.2,0.1669999999999999,23.35,16.2,70.2,0.162,23.1,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4691169261932373,37.286187586784365,15.795945190429688
node_1,0.0,70.3,0.0,15.0,33.0,70.8,0.33,31.5,39.9,70.3,0.3989999999999999,34.95,26.6,70.4,0.266,28.3,38.0,69.5,0.38,34.0,24.3,69.4,0.243,27.15,17.5,69.4,0.175,23.75,27.6,69.5,0.276,28.8,26.0,69.6,0.26,28.0,29.9,69.7,0.299,29.95,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4839894771575928,41.75946388721466,17.59417924118042
node_1,0.0,69.8,0.0,15.0,47.3,70.3,0.473,38.65,46.0,69.9,0.46,38.0,40.8,69.7,0.408,35.4,43.6,69.8,0.436,36.8,28.4,69.8,0.284,29.2,30.0,69.8,0.3,30.0,34.6,69.9,0.346,32.3,32.0,69.9,0.32,31.0,23.2,69.9,0.2319999999999999,26.6,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4714231491088867,46.048187451362615,19.302128870010375
node_1,0.0,69.9,0.0,15.0,37.8,70.3,0.3779999999999999,33.9,45.3,70.0,0.4529999999999999,37.65,33.9,70.0,0.3389999999999999,31.95,48.2,70.0,0.482,39.1,27.7,70.0,0.2769999999999999,28.85,22.4,70.0,0.2239999999999999,26.2,31.3,70.1,0.313,30.65,33.3,70.1,0.3329999999999999,31.65,25.0,70.1,0.25,27.5,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4805755615234375,44.78000785827636,18.80034848022461
node_1,0.0,70.1,0.0,15.0,50.4,70.5,0.504,40.2,53.5,70.2,0.535,41.75,35.4,70.3,0.354,32.7,35.2,70.3,0.352,32.6,31.5,70.3,0.315,30.75,20.8,70.4,0.208,25.4,24.4,70.4,0.244,27.2,16.1,70.4,0.161,23.05,16.3,70.4,0.163,23.15,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5156476497650146,44.22659842014312,18.600027957916257
node_1,0.0,70.4,0.0,15.0,33.4,70.8,0.3339999999999999,31.7,34.3,70.4,0.3429999999999999,32.15,26.9,70.3,0.2689999999999999,28.45,22.9,70.3,0.2289999999999999,26.45,16.3,70.3,0.163,23.15,15.3,70.3,0.153,22.65,17.2,70.3,0.172,23.6,26.5,70.5,0.265,28.25,22.0,70.5,0.22,26.0,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4345788955688477,36.92606077194213,15.631171646118162
node_1,0.0,70.5,0.0,15.0,34.6,70.9,0.346,32.3,37.6,70.5,0.376,33.8,27.3,70.5,0.273,28.65,24.0,70.5,0.24,27.0,17.4,70.5,0.174,23.7,15.8,70.5,0.158,22.9,18.0,70.5,0.18,24.0,17.5,70.5,0.175,23.75,21.4,70.6,0.214,25.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5159447193145752,38.92946039199829,16.481350988388062
node_1,0.0,70.7,0.0,15.0,36.7,71.1,0.367,33.35,34.3,70.7,0.3429999999999999,32.15,27.3,70.7,0.273,28.65,19.7,70.7,0.1969999999999999,24.85,15.4,70.7,0.154,22.7,7.2,70.7,0.072,18.6,17.5,70.8,0.175,23.75,16.3,70.8,0.163,23.15,16.2,70.7,0.162,23.1,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.491511583328247,36.5867791390419,15.52961860561371
node_1,0.0,70.7,0.0,15.0,34.4,71.2,0.344,32.2,35.8,70.8,0.358,32.9,26.3,70.8,0.263,28.15,24.0,70.8,0.24,27.0,16.3,70.7,0.163,23.15,15.8,70.7,0.158,22.9,15.9,70.7,0.159,22.95,16.0,70.8,0.16,23.0,21.4,70.7,0.214,25.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.449143409729004,36.65608254909515,15.531919065475464
node_1,0.0,70.8,0.0,15.0,32.1,71.3,0.321,31.05,34.7,71.0,0.347,32.35,26.3,71.1,0.263,28.15,22.1,71.1,0.221,26.05,17.0,71.1,0.17,23.5,15.5,71.2,0.155,22.75,14.4,71.2,0.144,22.2,17.4,71.3,0.174,23.7,15.5,71.4,0.155,22.75,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4556095600128174,36.02633661031723,15.283900380134584
node_1,0.0,71.3,0.0,15.0,32.8,71.8,0.3279999999999999,31.4,33.9,71.6,0.3389999999999999,31.95,27.0,71.6,0.27,28.5,28.1,71.7,0.281,29.05,19.6,71.7,0.196,24.8,6.6,71.5,0.066,18.3,14.2,71.5,0.142,22.1,15.1,71.5,0.151,22.55,16.6,71.5,0.166,23.3,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5208799839019775,37.558131202459336,15.935780471324922
node_1,66.7,71.6,0.667,48.35,45.0,72.2,0.45,37.5,40.8,71.6,0.408,35.4,25.6,71.8,0.256,27.8,24.5,71.8,0.245,27.25,17.8,71.5,0.178,23.9,27.8,70.2,0.278,28.9,33.7,69.9,0.337,31.85,24.1,69.9,0.241,27.05,33.2,70.1,0.332,31.6,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5365910530090332,49.10945005416871,20.565734653472905
node_1,0.0,70.0,0.0,15.0,34.0,70.4,0.34,32.0,35.2,70.0,0.352,32.6,23.8,70.0,0.238,26.9,23.2,69.9,0.2319999999999999,26.6,16.9,69.9,0.1689999999999999,23.45,16.7,69.8,0.1669999999999999,23.35,18.5,70.0,0.185,24.25,24.4,70.0,0.244,27.2,26.9,69.9,0.2689999999999999,28.45,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.511749029159546,39.275239777565005,16.61714532852173
node_1,0.0,69.9,0.0,15.0,40.6,70.3,0.406,35.3,39.6,70.0,0.396,34.8,18.2,69.9,0.182,24.1,16.9,69.9,0.1689999999999999,23.45,8.4,69.9,0.084,19.2,7.2,69.8,0.072,18.6,13.4,69.9,0.134,21.7,11.0,69.7,0.11,20.5,7.1,69.8,0.071,18.55,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.6742093563079834,38.707720317840575,16.48761374092102
node_1,0.0,69.8,0.0,15.0,22.7,70.3,0.2269999999999999,26.35,25.7,69.9,0.257,27.85,23.1,69.9,0.231,26.55,17.6,69.9,0.176,23.8,8.2,69.9,0.0819999999999999,19.1,8.1,69.8,0.081,19.05,7.0,69.7,0.07,18.5,12.6,69.9,0.126,21.3,19.2,70.3,0.192,24.6,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5397520065307615,34.19789206504822,14.603008029937746
node_1,0.0,70.3,0.0,15.0,24.7,70.7,0.247,27.35,25.0,70.3,0.25,27.5,23.7,70.3,0.237,26.85,14.7,70.3,0.147,22.35,8.4,70.3,0.084,19.2,7.8,70.3,0.078,18.9,7.2,70.3,0.072,18.6,7.5,70.3,0.075,18.75,10.4,70.4,0.104,20.2,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.453345537185669,31.20332868337631,13.353338795661925
node_1,0.0,70.5,0.0,15.0,27.1,70.9,0.271,28.55,23.3,70.6,0.233,26.65,24.9,70.6,0.249,27.45,24.9,70.6,0.249,27.45,21.5,70.7,0.215,25.75,16.1,70.7,0.161,23.05,16.4,71.0,0.1639999999999999,23.2,12.3,70.9,0.123,21.15,9.1,70.9,0.091,19.55,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4288034439086914,33.976945896148685,14.448060424804687
node_1,0.0,70.6,0.0,15.0,30.8,71.1,0.308,30.4,33.8,70.7,0.3379999999999999,31.9,26.8,70.6,0.268,28.4,16.5,70.5,0.165,23.25,8.3,70.6,0.083,19.15,7.3,70.7,0.073,18.65,8.9,70.8,0.089,19.45,8.1,70.9,0.081,19.05,7.9,70.9,0.079,18.95,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.514535427093506,33.9558842754364,14.491074966430665
node_1,0.0,70.7,0.0,15.0,25.6,71.0,0.256,27.8,34.2,70.7,0.342,32.1,28.4,70.6,0.284,29.2,20.6,70.7,0.206,25.3,8.9,70.7,0.089,19.45,6.3,70.8,0.063,18.15,8.1,70.9,0.081,19.05,7.3,70.8,0.073,18.65,6.8,70.9,0.068,18.4,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4801387786865234,33.02189615249634,14.096841728210451
node_1,0.0,70.9,0.0,15.0,35.8,71.4,0.358,32.9,28.7,71.1,0.287,29.35,21.8,71.1,0.218,25.9,15.9,71.1,0.159,22.95,7.6,71.1,0.076,18.8,8.7,71.2,0.087,19.35,8.6,71.1,0.086,19.3,8.7,71.2,0.087,19.35,6.6,71.2,0.066,18.3,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5574214458465576,34.45016238212585,14.714517820358276
node_1,0.0,71.2,0.0,15.0,24.6,71.8,0.246,27.3,24.9,71.3,0.249,27.45,28.7,71.5,0.287,29.35,30.2,71.6,0.302,30.1,21.5,71.5,0.215,25.75,11.2,71.5,0.1119999999999999,20.6,8.7,71.5,0.087,19.35,6.5,71.4,0.065,18.25,7.2,71.4,0.072,18.6,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.454484224319458,33.707671898603444,14.355759294033051
node_1,0.0,71.4,0.0,15.0,25.9,71.8,0.259,27.95,31.1,71.3,0.311,30.55,23.9,71.4,0.239,26.95,20.0,71.4,0.2,25.0,8.6,71.3,0.086,19.3,6.3,71.3,0.063,18.15,7.8,71.3,0.078,18.9,7.2,71.3,0.072,18.6,15.5,71.5,0.155,22.75,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5160794258117676,33.831312386989595,14.4421726102829
node_1,0.0,71.5,0.0,15.0,25.2,71.9,0.252,27.6,26.4,71.5,0.264,28.2,28.1,71.5,0.281,29.05,14.9,71.5,0.149,22.45,13.9,71.5,0.139,21.95,15.2,71.6,0.152,22.6,18.6,71.6,0.186,24.3,15.3,71.6,0.153,22.65,20.0,71.6,0.2,25.0,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4425499439239502,34.44809266090393,14.644767030715943
node_1,0.0,71.6,0.0,15.0,32.9,72.0,0.3289999999999999,31.45,28.4,71.6,0.284,29.2,25.1,71.6,0.251,27.55,15.9,71.7,0.159,22.95,8.0,71.7,0.08,19.0,8.0,71.6,0.08,19.0,8.9,71.6,0.089,19.45,7.4,71.7,0.074,18.7,6.7,71.6,0.067,18.35,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4358248710632324,31.681475780010224,13.53408523464203
node_1,0.0,71.6,0.0,15.0,24.5,72.2,0.245,27.25,39.2,72.0,0.392,34.6,28.1,72.1,0.281,29.05,20.7,72.0,0.207,25.35,20.6,71.9,0.206,25.3,15.9,72.0,0.159,22.95,33.0,72.0,0.33,31.5,19.0,71.9,0.19,24.5,12.5,71.9,0.125,21.25,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5019423961639404,38.56237102150917,16.326113846302032
node_1,0.0,71.9,0.0,15.0,32.2,72.2,0.322,31.1,32.8,71.9,0.3279999999999999,31.4,29.1,72.1,0.291,29.55,26.9,72.1,0.2689999999999999,28.45,36.5,72.4,0.365,33.25,25.7,72.6,0.257,27.85,17.6,72.7,0.176,23.8,12.5,72.5,0.125,21.25,12.8,72.6,0.128,21.4,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5223934650421145,40.04656009793281,16.932060118198393
node_1,0.0,72.7,0.0,15.0,47.8,73.1,0.478,38.9,48.7,72.9,0.487,39.35,37.0,73.1,0.37,33.5,34.4,73.2,0.344,32.2,60.9,73.4,0.609,45.45,22.0,73.3,0.22,26.0,14.5,73.4,0.145,22.25,12.0,73.4,0.12,21.0,15.4,73.4,0.154,22.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.6350033283233645,48.4533236348629,20.362331450939177
node_1,0.0,73.4,0.0,15.0,29.0,73.7,0.29,29.5,33.2,73.4,0.332,31.6,25.6,73.5,0.256,27.8,21.8,73.4,0.218,25.9,16.8,73.4,0.168,23.4,13.6,73.4,0.136,21.8,10.1,73.4,0.1009999999999999,20.05,12.8,73.4,0.128,21.4,13.4,73.4,0.134,21.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.505744695663452,35.85930992722511,15.247170788288118
node_1,0.0,73.5,0.0,15.0,32.9,73.9,0.3289999999999999,31.45,37.8,73.6,0.3779999999999999,33.9,35.2,73.8,0.352,32.6,34.0,73.8,0.34,32.0,27.8,73.9,0.278,28.9,15.7,73.9,0.157,22.85,15.4,73.9,0.154,22.7,13.7,73.9,0.1369999999999999,21.85,12.1,73.8,0.121,21.05,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5205543041229248,39.88413939714431,16.86598834133148
node_1,0.0,73.8,0.0,15.0,29.4,74.2,0.294,29.7,27.4,73.9,0.2739999999999999,28.7,24.1,73.4,0.241,27.05,28.0,73.3,0.28,29.0,19.5,73.5,0.195,24.75,19.2,73.5,0.192,24.6,21.5,73.6,0.215,25.75,18.3,73.6,0.183,24.15,21.7,74.0,0.217,25.85,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4686424732208252,37.38429415583611,15.83490314626694
node_1,0.0,74.1,0.0,15.0,24.6,74.5,0.246,27.3,34.7,74.1,0.347,32.35,22.8,74.1,0.228,26.4,19.5,74.1,0.195,24.75,13.7,74.0,0.1369999999999999,21.85,14.5,73.9,0.145,22.25,12.8,73.9,0.128,21.4,14.6,73.9,0.146,22.3,23.5,74.0,0.235,26.75,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4952573776245115,35.93851107120514,15.272558855056763
node_1,0.0,74.0,0.0,15.0,43.9,74.5,0.439,36.95,37.1,74.2,0.371,33.55,22.3,74.2,0.223,26.15,28.5,74.2,0.285,29.25,19.0,74.0,0.19,24.5,23.5,74.1,0.235,26.75,27.0,74.3,0.27,28.5,36.2,74.5,0.362,33.1,18.6,74.6,0.186,24.3,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.549271821975708,43.07750301003456,18.16056429719925
node_1,0.0,74.5,0.0,15.0,34.2,74.8,0.342,32.1,32.3,74.5,0.3229999999999999,31.15,21.1,74.3,0.211,25.55,25.3,74.3,0.253,27.65,19.6,74.2,0.196,24.8,13.9,74.1,0.139,21.95,21.7,74.3,0.217,25.85,13.6,74.4,0.136,21.8,20.1,74.3,0.201,25.05,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4804716110229492,37.1450327205658,15.74629605484009
node_1,0.0,74.3,0.0,15.0,34.6,74.8,0.346,32.3,40.5,74.6,0.405,35.25,40.9,74.9,0.409,35.45,34.0,75.1,0.34,32.0,34.2,75.4,0.342,32.1,37.2,75.6,0.372,33.6,48.9,76.0,0.489,39.45,14.2,76.0,0.142,22.1,25.0,75.9,0.25,27.5,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5081241130828855,45.96008234620095,19.28890740633011
node_1,100.0,76.5,1.0,65.0,34.4,76.9,0.344,32.2,41.1,76.2,0.411,35.55,20.1,76.2,0.201,25.05,30.4,76.4,0.304,30.2,31.1,76.5,0.311,30.55,11.5,76.5,0.115,20.75,15.5,76.4,0.155,22.75,25.3,76.6,0.253,27.65,14.5,76.6,0.145,22.25,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5353693962097168,47.89584831476212,20.07956096363068
node_1,0.0,76.4,0.0,15.0,31.7,76.9,0.317,30.85,31.9,76.5,0.319,30.95,28.8,76.0,0.288,29.4,31.0,76.0,0.31,30.5,20.3,75.8,0.203,25.15,24.2,75.7,0.242,27.1,22.9,75.6,0.2289999999999999,26.45,21.4,75.6,0.214,25.7,16.4,75.6,0.1639999999999999,23.2,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.5551495552062988,41.10260274410247,17.374130830764766
node_1,0.0,75.5,0.0,15.0,29.0,75.9,0.29,29.5,32.8,75.1,0.3279999999999999,31.4,27.9,75.0,0.2789999999999999,28.95,22.6,75.0,0.226,26.3,14.1,74.9,0.141,22.05,16.3,74.9,0.163,23.15,12.4,74.9,0.124,21.2,11.2,74.6,0.1119999999999999,20.6,14.5,74.6,0.145,22.25,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4735138416290283,35.42327275276184,15.053417406082154
node_1,0.0,74.6,0.0,15.0,32.9,75.1,0.3289999999999999,31.45,27.8,74.6,0.278,28.9,20.3,74.6,0.203,25.15,18.3,74.6,0.183,24.15,17.4,74.5,0.174,23.7,10.6,74.5,0.106,20.3,15.0,74.4,0.15,22.5,11.3,74.4,0.113,20.65,10.1,74.4,0.1009999999999999,20.05,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.464773178100586,33.96076613426208,14.463170360565185
node_1,0.0,74.3,0.0,15.0,23.3,74.9,0.233,26.65,25.4,74.4,0.254,27.7,18.5,74.3,0.185,24.25,19.7,74.3,0.1969999999999999,24.85,9.1,74.3,0.091,19.55,11.9,74.3,0.119,20.95,25.3,74.3,0.253,27.65,23.0,74.6,0.23,26.5,21.3,74.7,0.213,25.65,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4410631656646729,34.405383080244064,14.62679113149643
node_1,0.0,74.6,0.0,15.0,32.3,74.9,0.3229999999999999,31.15,31.3,74.4,0.313,30.65,18.4,74.5,0.184,24.2,19.1,74.4,0.191,24.55,16.6,74.3,0.166,23.3,24.8,74.5,0.248,27.4,16.2,74.6,0.162,23.1,20.4,74.8,0.204,25.2,29.4,75.1,0.294,29.7,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.4513583183288574,36.9007852435112,15.631129088401792
node_1,0.0,76.0,0.0,15.0,36.5,77.3,0.365,33.25,38.7,78.4,0.387,34.35,35.4,79.9,0.354,32.7,30.2,79.9,0.302,30.1,22.3,79.8,0.223,26.15,19.5,79.8,0.195,24.75,22.9,79.6,0.2289999999999999,26.45,21.8,76.5,0.218,25.9,18.7,76.5,0.187,24.35,16,15.406005859375,3301.0,8.335113525390626e-05,0.021,0.02,0.0,0.02,1,1.50081467628479,40.97224066257477,17.289385070800783
